source,base,quote,instrument,url,at,raw_file,mid,spread_bps,levels,bid_1pct_usd,ask_1pct_usd,min_1pct_usd,complete_1pct,bid_2pct_usd,ask_2pct_usd,min_2pct_usd,complete_2pct,assessment,error,contract_base_units
HUOBI,DAI,USDT,DAI/USDT spot,https://api.huobi.pro/market/depth?symbol=daiusdt&type=step0&depth=150,2026-09-18T09:58:16.784821+00:00,book-HUOBI-DAI-USDT.json,,,,,,,,,,,,Unverified,invalid symbol,
HUOBI,ETH,USDT,ETH/USDT spot,https://api.huobi.pro/market/depth?symbol=ethusdt&type=step0,2026-09-18T10:00:56.339773+00:00,book-HUOBI-ETH-USDT.json,2509.165,0.03985389561953191,"[150, 150]",7103599.614964295,10311732.792034363,7103599.614964295,False,7103599.614964295,10311732.792034363,7103599.614964295,False,Deeper,,
HUOBI,STRK,USDT,STRK/USDT spot,https://api.huobi.pro/market/depth?symbol=strkusdt&type=step0,2026-09-18T10:00:55.036841+00:00,book-HUOBI-STRK-USDT.json,0.0337,178.04154302670722,"[52, 150]",22.7679287154125,177.577936228625,22.7679287154125,True,22.7679287154125,2015.82581121692,22.7679287154125,True,Very thin,,
HUOBI,USDC,USDT,USDC/USDT spot,https://api.huobi.pro/market/depth?symbol=usdcusdt&type=step0,2026-09-18T10:00:55.054442+00:00,book-HUOBI-USDC-USDT.json,1.0006499999999998,0.9993504222254435,"[150, 150]",952390.3511530926,1376945.13231984,952390.3511530926,True,953093.9945773375,1377826.9120938836,953093.9945773375,True,Deeper,,
KRAKEN,AAVE,USD,AAVE/USD spot,https://api.kraken.com/0/public/Depth?pair=AAVEUSD&count=500,2026-09-18T09:58:52.976280+00:00,book-KRAKEN-AAVE-USD.json,135.3,4.434589800443627,"[500, 500]",398575.0412,337145.57578,337145.57578,True,473019.94175,399584.65357,399584.65357,True,Deeper,,
KRAKEN,BTC,USD,BTC/USD spot,https://api.kraken.com/0/public/Depth?pair=XBTUSD&count=500,2026-09-18T09:58:40.857814+00:00,book-KRAKEN-BTC-USD.json,78142.65,0.012797108876045139,"[500, 500]",17629228.8589,20929591.1754,17629228.8589,True,18382288.0162,23453638.5709,18382288.0162,False,Deeper,,
KRAKEN,DAI,USD,DAI/USD spot,https://api.kraken.com/0/public/Depth?pair=DAIUSD&count=500,2026-09-18T09:58:47.130349+00:00,book-KRAKEN-DAI-USD.json,0.99985,2.0003000450065307,"[106, 92]",143101.75553228,30563.11918986,30563.11918986,True,171002.58013828,39568.2598694,39568.2598694,True,Thin,,
KRAKEN,DASH,USD,DASH/USD spot,https://api.kraken.com/0/public/Depth?pair=DASHUSD&count=500,2026-09-18T09:58:52.146015+00:00,book-KRAKEN-DASH-USD.json,59.504999999999995,10.083186286865839,"[477, 500]",169036.034746,72845.48792099999,72845.48792099999,True,179581.372342,80917.975704,80917.975704,True,Thin,,
KRAKEN,ETH,USD,ETH/USD spot,https://api.kraken.com/0/public/Depth?pair=ETHUSD&count=500,2026-09-18T09:58:41.195932+00:00,book-KRAKEN-ETH-USD.json,2506.045,0.03990351330569993,"[500, 500]",12441910.77312,11724216.10607,11724216.10607,True,13795436.226259999,13435303.40796,13435303.40796,True,Deeper,,
KRAKEN,EUR,USD,EUR/USD spot,https://api.kraken.com/0/public/Depth?pair=EURUSD&count=500,2026-09-18T10:07:06.765806+00:00,book-KRAKEN-EUR-USD.json,1.14824,0.17417961401718265,"[348, 325]",2794751.85437204,593673.62877588,593673.62877588,True,3527419.20707751,879009.80194866,879009.80194866,True,Deeper,,
